TEAM	PLAYER	POSITION	SCHOOL	year	round
Buffalo Bills	Cordy Glenn	T	Georgia	2012	2
Miami Dolphins	Jonathan Martin	T	Stanford	2012	2
New York Jets	Stephen Hill	WR	Georgia Tech	2012	2
Kansas City Chiefs	Jeff Allen	T	Illinois	2012	2
Chicago Bears	Alshon Jeffery	WR	South Carolina	2012	2
Philadelphia Eagles	Mychal Kendricks	LB	California	2012	2
Seattle Seahawks	Bobby Wagner	LB	Utah State	2012	2
New England Patriots	Tavon Wilson	FS	Illinois	2012	2
San Diego Chargers	Kendall Reyes	DE	Connecticut	2012	2
St. Louis Rams	Isaiah Pead	RB	Cincinnati	2012	2
Green Bay Packers	Jerel Worthy	DE	Michigan State	2012	2
Tennessee Titans	Zach Brown	LB	North Carolina	2012	2
Cincinnati Bengals	Devon Still	DT	Penn State	2012	2
Detroit Lions	Ryan Broyles	WR	Oklahoma	2012	2
Atlanta Falcons	Peter Konz	G	Wisconsin	2012	2
Pittsburgh Steelers	Mike Adams	T	Ohio State	2012	2
Denver Broncos	Brock Osweiler	QB	Arizona State	2012	2
Tampa Bay Buccaneers	Lavonte David	LB	Nebraska	2012	2
Philadelphia Eagles	Vinny Curry	DE	Marshall	2012	2
Baltimore Ravens	Kelechi Osemele	T	Iowa State	2012	2
San Francisco 49ers	LaMichael James	RB	Oregon	2012	2
Green Bay Packers	Casey Hayward	CB	Vanderbilt	2012	2
New York Giants	Rueben Randle	WR	LSU	2012	2
Indianapolis Colts	Dwayne Allen	TE	Clemson	2012	3
St. Louis Rams	Trumaine Johnson	CB	Montana	2012	3
Minnesota Vikings	Josh Robinson	CB	Central Florida	2012	3
Denver Broncos	Ronnie Hillman	RB	San Diego State	2012	3
Houston Texans	DeVier Posey	WR	Ohio State	2012	3
Buffalo Bills	T.J. Graham	WR	North Carolina State	2012	3
Jacksonville Jaguars	Bryan Anger	P	California	2012	3
Washington Redskins	Josh Leribeus	G	Southern Methodist	2012	3
Miami Dolphins	Olivier Vernon	DE	Miami (Fla.)	2012	3
San Diego Chargers	Brandon Taylor	SS	LSU	2012	3
Kansas City Chiefs	Donald Stephenson	T	Oklahoma	2012	3
Seattle Seahawks	Russell Wilson	QB	Wisconsin	2012	3
Houston Texans	Brandon Brooks	G	Miami (Ohio)	2012	3
New York Jets	Demario Davis	LB	Arkansas State	2012	3
Miami Dolphins	Michael Egnew	TE	Missouri	2012	3
Chicago Bears	Brandon Hardin	FS	Oregon State	2012	3
Arizona Cardinals	Jamell Fleming	CB	Oklahoma	2012	3
Dallas Cowboys	Tyrone Crawford	DE	Boise State	2012	3
Tennessee Titans	Mike Martin	DT	Michigan	2012	3
Cincinnati Bengals	Mohamed Sanu	WR	Rutgers	2012	3
Baltimore Ravens	Bernard Pierce	RB	Temple	2012	3
Detroit Lions	Dwight Bentley	CB	Louisiana-Lafayette	2012	3
Pittsburgh Steelers	Sean Spence	LB	Miami (Fla.)	2012	3
Cleveland Browns	John Hughes	DT	Cincinnati	2012	3
Philadelphia Eagles	Nick Foles	QB	Arizona	2012	3
New Orleans Saints	Akiem Hicks	DT	Regina (Canada)	2012	3
New England Patriots	Jake Bequette	DE	Arkansas	2012	3
Atlanta Falcons	Lamar Holmes	T	Southern Mississippi	2012	3
Indianapolis Colts	T.Y. Hilton	WR	Florida International	2012	3
Cincinnati Bengals	Brandon Thompson	DT	Clemson	2012	3
New York Giants	Jayron Hosley	CB	Virginia Tech	2012	3
Oakland Raiders	Tony Bergstrom	G	Utah	2012	3
St. Louis Rams	Chris Givens	WR	Wake Forest	2012	4
Miami Dolphins	Lamar Miller	RB	Miami (Fla.)	2012	4
Baltimore Ravens	Gino Gradkowski	G	Delaware	2012	4
Houston Texans	Ben Jones	C	Georgia	2012	4
Cleveland Browns	Travis Benjamin	WR	Miami (Fla.)	2012	4
Denver Broncos	Omar Bolden	CB	Arizona State	2012	4
Washington Redskins	Kirk Cousins	QB	Michigan State	2012	4
Carolina Panthers	Frank Alexander	DE	Oklahoma	2012	4
Carolina Panthers	Joe Adams	WR	Arkansas	2012	4
Buffalo Bills	Nigel Bradham	LB	Florida State	2012	4
Seattle Seahawks	Robert Turbin	RB	Utah State	2012	4
Kansas City Chiefs	Devon Wylie	WR	Fresno State	2012	4
Denver Broncos	Philip Blake	C	Baylor	2012	4
Pittsburgh Steelers	Alameda Ta'amu	DT	Washington	2012	4
San Diego Chargers	Ladarius Green	TE	Louisiana-Lafayette	2012	4
Chicago Bears	Evan Rodriguez	TE	Temple	2012	4
Arizona Cardinals	Bobby Massie	T	Mississippi	2012	4
Dallas Cowboys	Kyle Wilber	DE	Wake Forest	2012	4
Seattle Seahawks	Jaye Howard	DT	Florida	2012	4
Tennessee Titans	Coty Sensabaugh	CB	Clemson	2012	4
Cincinnati Bengals	Orson Charles	TE	Georgia	2012	4
San Francisco 49ers	Joe Looney	G	Wake Forest	2012	4
Minnesota Vikings	Jarius Wright	WR	Arkansas	2012	4
Washington Redskins	Keenan Robinson	LB	Texas	2012	4
Cleveland Browns	James-Michael Johnson	LB	Nevada-Reno	2012	4
Houston Texans	Keshawn Martin	WR	Michigan State	2012	4
New Orleans Saints	Nick Toon	WR	Wisconsin	2012	4
Philadelphia Eagles	Brandon Boykin	CB	Georgia	2012	4
Buffalo Bills	Ron Brooks	CB	LSU	2012	4
Detroit Lions	Ronnell Lewis	DE	Oklahoma	2012	4
Houston Texans	Jared Crick	DE	Nebraska	2012	4
New York Giants	Adrien Robinson	TE	Cincinnati	2012	4
Minnesota Vikings	Rhett Ellison	TE	USC	2012	4
Oakland Raiders	Miles Burris	LB	San Diego State	2012	4
Baltimore Ravens	Christian Thompson	FS	South Carolina State	2012	4
New York Giants	Brandon Mosley	T	Auburn	2012	4
Green Bay Packers	Mike Daniels	DE	Iowa	2012	4
Green Bay Packers	Jerron McMillian	SS	Maine	2012	4
Minnesota Vikings	Greg Childs	WR	Arkansas	2012	4
Dallas Cowboys	Matt Johnson	SS	Eastern Washington	2012	4
Indianapolis Colts	Josh Chapman	DT	Alabama	2012	5
Denver Broncos	Malik Jackson	DE	Tennessee	2012	5
Detroit Lions	Tahir Whitehead	LB	Temple	2012	5
Minnesota Vikings	Robert Blanton	CB	Notre Dame	2012	5
Tampa Bay Buccaneers	Najee Goode	LB	West Virginia	2012	5
Washington Redskins	Adam Gettis	G	Iowa	2012	5
Jacksonville Jaguars	Brandon Marshall	LB	Nevada-Reno	2012	5
Carolina Panthers	Josh Norman	CB	Coastal Carolina	2012	5
Buffalo Bills	Zebrie Sanders	T	Florida State	2012	5
Tennessee Titans	Taylor Thompson	TE	Southern Methodist	2012	5
Kansas City Chiefs	DeQuan Menzie	CB	Alabama	2012	5
Buffalo Bills	Tank Carder	LB	Texas Christian	2012	5
Detroit Lions	Chris Greenwood	CB	Albion	2012	5
San Diego Chargers	Johnnie Troutman	G	Penn State	2012	5
St. Louis Rams	Rokevious Watkins	G	South Carolina	2012	5
Arizona Cardinals	Senio Kelemete	G	Washington	2012	5
Dallas Cowboys	Danny Coale	WR	Virginia Tech	2012	5
Philadelphia Eagles	Dennis Kelly	T	Purdue	2012	5
Seattle Seahawks	Korey Toomer	LB	Idaho	2012	5
Miami Dolphins	Josh Kaddu	LB	Oregon	2012	5
Cincinnati Bengals	Shaun Prater	CB	Iowa	2012	5
Atlanta Falcons	Bradie Ewing	RB	Wisconsin	2012	5
Oakland Raiders	Jack Crawford	DE	Penn State	2012	5
Pittsburgh Steelers	Chris Rainey	RB	Florida	2012	5
Cleveland Browns	Ryan Miller	T	Colorado	2012	5
Houston Texans	Randy Bullock	K	Texas A&M	2012	5
New Orleans Saints	Corey White	SS	Samford	2012	5
Green Bay Packers	Terrell Manning	LB	North Carolina State	2012	5
Atlanta Falcons	Jonathan Massaquoi	DE	Troy	2012	5
San Francisco 49ers	Darius Fleming	LB	Notre Dame	2012	5
Cincinnati Bengals	Marvin Jones	WR	California	2012	5
Cincinnati Bengals	George Iloka	FS	Boise State	2012	5
Oakland Raiders	Juron Criner	WR	Arizona	2012	5
Baltimore Ravens	Asa Jackson	CB	Cal Poly-S.L.O.	2012	5
Indianapolis Colts	Vick Ballard	RB	Mississippi State	2012	5
St. Louis Rams	Greg Zuerlein	K	Missouri Western State	2012	6
Seattle Seahawks	Jeremy Lane	CB	Northwestern State-Louisiana	2012	6
Washington Redskins	Alfred Morris	RB	Florida Atlantic	2012	6
Tampa Bay Buccaneers	Keith Tandy	CB	West Virginia	2012	6
Minnesota Vikings	Blair Walsh	K	Georgia	2012	6
Jacksonville Jaguars	Mike Harris	CB	Florida State	2012	6
Arizona Cardinals	Justin Bethel	CB	Presbyterian	2012	6
Buffalo Bills	Mark Asper	G	Oregon	2012	6
New Orleans Saints	Andrew Tiller	G	Syracuse	2012	6
San Francisco 49ers	Trenton Robinson	FS	Michigan State	2012	6
Seattle Seahawks	Winston Guy	DB	Kentucky	2012	6
Kansas City Chiefs	Cyrus Gray	RB	Texas A&M	2012	6
Miami Dolphins	B.J. Cunningham	WR	Michigan State	2012	6
Chicago Bears	Isaiah Frey	CB	Nevada-Reno	2012	6
Arizona Cardinals	Ryan Lindley	QB	San Diego State	2012	6
Dallas Cowboys	James Hanna	TE	Oklahoma	2012	6
New York Jets	Josh Bush	DB	Wake Forest	2012	6
Denver Broncos	Danny Trevathan	LB	Kentucky	2012	6
Oakland Raiders	Christo Bilukidi	DT	Georgia State	2012	6
Tennessee Titans	Markelle Martin	FS	Oklahoma State	2012	6
Cincinnati Bengals	Dan Herron	RB	Ohio State	2012	6
Atlanta Falcons	Charles Mitchell	SS	Mississippi State	2012	6
Washington Redskins	Tom Compton	T	South Dakota	2012	6
Philadelphia Eagles	Marvin McNutt	WR	Iowa	2012	6
Houston Texans	Nick Mondek	T	Purdue	2012	6
Detroit Lions	Jonte Green	CB	New Mexico State	2012	6
New England Patriots	Nate Ebner	DB	Ohio State	2012	6
Baltimore Ravens	Tommy Streeter	WR	Miami (Fla.)	2012	6
San Francisco 49ers	Jason Slowey	T	Western Oregon	2012	6
Philadelphia Eagles	Brandon Washington	G	Miami (Fla.)	2012	6
New York Giants	Matt McCants	T	Alabama-Birmingham	2012	6
New York Jets	Terrance Ganaway	RB	Baylor	2012	6
New York Jets	Robert T. Griffin	G	Baylor	2012	6
Cleveland Browns	Emmanuel Acho	LB	Texas	2012	6
Cleveland Browns	Billy Winn	DT	Boise State	2012	6
Indianapolis Colts	LaVon Brazill	WR	Ohio U.	2012	6
Carolina Panthers	Brad Nortman	P	Wisconsin	2012	6
Indianapolis Colts	Justin Anderson	G	Georgia	2012	7
St. Louis Rams	Aaron Brown	LB	Hawaii	2012	7
Minnesota Vikings	Audie Cole	LB	North Carolina State	2012	7
Tennessee Titans	Scott Solomon	DE	Rice	2012	7
Tampa Bay Buccaneers	Michael Smith	RB	Utah State	2012	7
Washington Redskins	Richard Crawford	CB	Southern Methodist	2012	7
Indianapolis Colts	Tim Fugger	LB	Vanderbilt	2012	7
Miami Dolphins	Kheeston Randall	DT	Texas	2012	7
Carolina Panthers	D.J. Campbell	FS	California	2012	7
Washington Redskins	Jordan Bernstine	CB	Iowa	2012	7
Kansas City Chiefs	Jerome Long	DT	San Diego State	2012	7
Minnesota Vikings	Trevor Guyton	DT	California	2012	7
Chicago Bears	Greg McCoy	CB	Texas Christian	2012	7
Arizona Cardinals	Nate Potter	T	Boise State	2012	7
Dallas Cowboys	Caleb McSurdy	LB	Montana	2012	7
Detroit Lions	Travis Lewis	LB	Oklahoma	2012	7
New England Patriots	Alfonzo Dennard	CB	Nebraska	2012	7
Seattle Seahawks	J.R. Sweezy	G	North Carolina State	2012	7
San Diego Chargers	David Molk	C	Michigan	2012	7
Miami Dolphins	Rishard Matthews	WR	Nevada-Reno	2012	7
Jacksonville Jaguars	Jeris Pendleton	DT	Ashland	2012	7
Philadelphia Eagles	Bryce Brown	RB	Kansas State	2012	7
Oakland Raiders	Nathan Stupar	LB	Penn State	2012	7
Pittsburgh Steelers	Toney Clemons	WR	Colorado	2012	7
Seattle Seahawks	Greg Scruggs	DE	Louisville	2012	7
Tampa Bay Buccaneers	Drake Dunsmore	TE	Northwestern	2012	7
New Orleans Saints	Marcel Jones	T	Nebraska	2012	7
New England Patriots	Jeremy Ebert	WR	Northwestern	2012	7
Baltimore Ravens	DeAngelo Tyson	DE	Georgia	2012	7
San Francisco 49ers	Cam Johnson	LB	Virginia	2012	7
Kansas City Chiefs	Junior Hemingway	WR	Michigan	2012	7
New York Giants	Markus Kuhn	DT	North Carolina State	2012	7
Pittsburgh Steelers	David Paulson	TE	Oregon	2012	7
Green Bay Packers	Andrew Datko	T	Florida State	2012	7
New York Jets	Antonio Allen	SS	South Carolina	2012	7
Green Bay Packers	B.J. Coleman	QB	Tennessee-Chattanooga	2012	7
New York Jets	Jordan White	WR	Western Michigan	2012	7
Cleveland Browns	Trevin Wade	CB	Arizona	2012	7
Pittsburgh Steelers	Terrence Frederick	CB	Texas A&M	2012	7
Cleveland Browns	Brad Smelley	RB	Alabama	2012	7
Pittsburgh Steelers	Kelvin Beachum	T	Southern Methodist	2012	7
Atlanta Falcons	Travian Robertson	NT	South Carolina	2012	7
San Diego Chargers	Edwin Baker	RB	Michigan State	2012	7
Buffalo Bills	John Potter	K	Western Michigan	2012	7
St. Louis Rams	Daryl Richardson	RB	Abilene Christian	2012	7
Indianapolis Colts	Chandler Harnish	QB	Northern Illinois	2012	7
Kansas City Chiefs	Eric Fisher	OT	Central Michigan	2013	1
Jacksonville Jaguars	Luke Joeckel	OT	Texas A&M	2013	1
Miami Dolphins	Dion Jordan	DE	Oregon	2013	1
Philadelphia Eagles	Lane Johnson	OT	Oklahoma	2013	1
Detroit Lions	Ezekiel Ansah	DE	Brigham Young	2013	1
Cleveland Browns	Barkevious Mingo	OLB	LSU	2013	1
Arizona Cardinals	Jonathan Cooper	OG	North Carolina	2013	1
St. Louis Rams	Tavon Austin	WR	West Virginia	2013	1
New York Jets	Dee Milliner	CB	Alabama	2013	1
Tennessee Titans	Chance Warmack	OG	Alabama	2013	1
San Diego Chargers	D.J. Fluker	OT	Alabama	2013	1
Oakland Raiders	D.J. Hayden	CB	Houston	2013	1
New York Jets	Sheldon Richardson	DE	Missouri	2013	1
Carolina Panthers	Star Lotulelei	DT	Utah	2013	1
New Orleans Saints	Kenny Vaccaro	SS	Texas	2013	1
Buffalo Bills	EJ Manuel	QB	Florida State	2013	1
Pittsburgh Steelers	Jarvis Jones	OLB	Georgia	2013	1
San Francisco 49ers	Eric Reid	FS	LSU	2013	1
New York Giants	Justin Pugh	OT	Syracuse	2013	1
Chicago Bears	Kyle Long	OG	Oregon	2013	1
Cincinnati Bengals	Tyler Eifert	TE	Notre Dame	2013	1
Atlanta Falcons	Desmond Trufant	CB	Washington	2013	1
Minnesota Vikings	Sharrif Floyd	DT	Florida	2013	1
Indianapolis Colts	Bjoern Werner	OLB	Florida State	2013	1
Minnesota Vikings	Xavier Rhodes	CB	Florida State	2013	1
Green Bay Packers	Datone Jones	DE	UCLA	2013	1
Houston Texans	DeAndre Hopkins	WR	Clemson	2013	1
Denver Broncos	Sylvester Williams	DT	North Carolina	2013	1
Minnesota Vikings	Cordarrelle Patterson	WR	Tennessee	2013	1
St. Louis Rams	Alec Ogletree	OLB	Georgia	2013	1
Dallas Cowboys	Travis Frederick	C	Wisconsin	2013	1
Baltimore Ravens	Matt Elam	FS	Florida	2013	1
Jacksonville Jaguars	John Cyprien	SS	Florida International	2013	2
Tennessee Titans	Justin Hunter	WR	Tennessee	2013	2
Philadelphia Eagles	Zach Ertz	TE	Stanford	2013	2
Detroit Lions	Darius Slay	CB	Mississippi State	2013	2
Cincinnati Bengals	Giovani Bernard	RB	North Carolina	2013	2
San Diego Chargers	Manti Te'o	ILB	Notre Dame	2013	2
New York Jets	Geno Smith	QB	West Virginia	2013	2
San Francisco 49ers	Cornellius Carradine	DE	Florida State	2013	2
Buffalo Bills	Robert Woods	WR	USC	2013	2
Oakland Raiders	Menelik Watson	OT	Florida State	2013	2
Tampa Bay Buccaneers	Johnthan Banks	CB	Mississippi State	2013	2
Carolina Panthers	Kawann Short	DT	Purdue	2013	2
Arizona Cardinals	Kevin Minter	LB	LSU	2013	2
Buffalo Bills	Kiko Alonso	MLB	Oregon	2013	2
Dallas Cowboys	Gavin Escobar	TE	San Diego State	2013	2
Pittsburgh Steelers	Le'Veon Bell	RB	Michigan State	2013	2
New York Giants	Johnathan Hankins	DT	Ohio State	2013	2
Chicago Bears	Jon Bostic	ILB	Florida	2013	2
Washington Redskins	David Amerson	FS	North Carolina State	2013	2
New England Patriots	Jamie Collins	OLB	Southern Mississippi	2013	2
Cincinnati Bengals	Margus Hunt	DE	Southern Methodist	2013	2
Miami Dolphins	Jamar Taylor	CB	Boise State	2013	2
San Francisco 49ers	Vance McDonald	TE	Rice	2013	2
Baltimore Ravens	Arthur Brown	ILB	Kansas State	2013	2
Houston Texans	D.J. Swearinger	SS	South Carolina	2013	2
Denver Broncos	Montee Ball	RB	Wisconsin	2013	2
New England Patriots	Aaron Dobson	WR	Marshall	2013	2
Atlanta Falcons	Robert Alford	CB	Southeastern Louisiana	2013	2
Green Bay Packers	Eddie Lacy	RB	Alabama	2013	2
Seattle Seahawks	Christine Michael	RB	Texas A&M	2013	2
Kansas City Chiefs	Travis Kelce	TE	Cincinnati	2013	3
Jacksonville Jaguars	Dwayne Gratz	CB	Connecticut	2013	3
Detroit Lions	Larry Warford	OG	Kentucky	2013	3
Oakland Raiders	Sio Moore	OLB	Connecticut	2013	3
Philadelphia Eagles	Bennie Logan	NT	LSU	2013	3
Cleveland Browns	Leon McFadden	CB	San Diego State	2013	3
Arizona Cardinals	Tyrann Mathieu	FS	LSU	2013	3
Tennessee Titans	Blidi Wreh-Wilson	CB	Connecticut	2013	3
St. Louis Rams	T.J. McDonald	SS	USC	2013	3
New York Jets	Brian Winters	OG	Kent State	2013	3
Tampa Bay Buccaneers	Mike Glennon	QB	North Carolina State	2013	3
Dallas Cowboys	Terrance Williams	WR	Baylor	2013	3
New Orleans Saints	Terron Armstead	OT	Arkansas-Pine Bluff	2013	3
San Diego Chargers	Keenan Allen	WR	California	2013	3
Miami Dolphins	Dallas Thomas	OT	Tennessee	2013	3
Buffalo Bills	Marquise Goodwin	WR	Texas	2013	3
Pittsburgh Steelers	Markus Wheaton	WR	Oregon State	2013	3
Dallas Cowboys	J.J. Wilcox	SS	Georgia Southern	2013	3
New York Giants	Damontre Moore	DE	Texas A&M	2013	3
New Orleans Saints	John Jenkins	NT	Georgia	2013	3
New England Patriots	Logan Ryan	CB	Rutgers	2013	3
Cincinnati Bengals	Shawn Williams	SS	Georgia	2013	3
Washington Redskins	Jordan Reed	TE	Florida	2013	3
Indianapolis Colts	Hugh Thornton	OG	Illinois	2013	3
Seattle Seahawks	Jordan Hill	DT	Penn State	2013	3
San Francisco 49ers	Corey Lemonier	LB	Auburn	2013	3
Houston Texans	Brennan Williams	OT	North Carolina	2013	3
Denver Broncos	Kayvon Webster	CB	South Florida	2013	3
New England Patriots	Duron Harmon	SS	Rutgers	2013	3
St. Louis Rams	Stedman Bailey	WR	West Virginia	2013	3
Miami Dolphins	Will Davis	CB	Utah State	2013	3
Baltimore Ravens	Brandon Williams	DT	Missouri Southern State	2013	3
Houston Texans	Sam Montgomery	LB	LSU	2013	3
Kansas City Chiefs	Knile Davis	RB	Arkansas	2013	3
Tennessee Titans	Zaviar Gooden	OLB	Missouri	2013	3
Philadelphia Eagles	Matt Barkley	QB	USC	2013	4
Kansas City Chiefs	Nico Johnson	ILB	Alabama	2013	4
Tampa Bay Buccaneers	Akeem Spence	DT	Illinois	2013	4
Jacksonville Jaguars	Ace Sanders	WR	South Carolina	2013	4
New England Patriots	Josh Boyce	WR	Texas Christian	2013	4
Arizona Cardinals	Alex Okafor	LB	Texas	2013	4
Miami Dolphins	Jelani Jenkins	LB	Florida	2013	4
Buffalo Bills	Duke Williams	FS	Nevada	2013	4
Miami Dolphins	Dion Sims	TE	Michigan State	2013	4
Tennessee Titans	Brian Schwenke	C	California	2013	4
Carolina Panthers	Edmund Kugbila	G	Valdosta State	2013	4
Green Bay Packers	David Bakhtiari	OT	Colorado	2013	4
New York Giants	Ryan Nassib	QB	Syracuse	2013	4
Pittsburgh Steelers	Shamarko Thomas	SS	Syracuse	2013	4
Oakland Raiders	Tyler Wilson	QB	Arkansas	2013	4
St. Louis Rams	Barrett Jones	OG	Alabama	2013	4
Dallas Cowboys	B.W. Webb	CB	William & Mary	2013	4
Pittsburgh Steelers	Landry Jones	QB	Oklahoma	2013	4
Arizona Cardinals	Earl Watford	OG	James Madison	2013	4
Chicago Bears	Khaseem Greene	OLB	Rutgers	2013	4
Cincinnati Bengals	Sean Porter	OLB	Texas A&M	2013	4
Washington Redskins	Phillip Thomas	SS	Fresno State	2013	4
Minnesota Vikings	Gerald Hodges	OLB	Penn State	2013	4
Indianapolis Colts	Khaled Holmes	C	USC	2013	4
Green Bay Packers	JC Tretter	T	Cornell	2013	4
Seattle Seahawks	Chris Harper	WR	Kansas State	2013	4
Houston Texans	Trevardo Williams	OLB	Connecticut	2013	4
Green Bay Packers	Johnathan Franklin	RB	UCLA	2013	4
Tampa Bay Buccaneers	William Gholston	DE	Michigan State	2013	4
Atlanta Falcons	Malliciah Goodman	DE	Clemson	2013	4
San Francisco 49ers	Quinton Patton	WR	Louisiana Tech	2013	4
Baltimore Ravens	John Simon	LB	Ohio State	2013	4
Baltimore Ravens	Kyle Juszczyk	RB	Harvard	2013	4
San Francisco 49ers	Marcus Lattimore	RB	South Carolina	2013	4
Detroit Lions	Devin Taylor	DE	South Carolina	2013	4
Atlanta Falcons	Levine Toilolo	TE	Stanford	2013	4
Kansas City Chiefs	Sanders Commings	CB	Georgia	2013	5
Jacksonville Jaguars	Denard Robinson	RB	Michigan	2013	5
Philadelphia Eagles	Earl Wolff	FS	North Carolina State	2013	5
Seattle Seahawks	Jesse Williams	DT	Alabama	2013	5
Seattle Seahawks	Tharold Simon	CB	LSU	2013	5
Indianapolis Colts	Montori Hughes	DT	Tennessee-Martin	2013	5
Arizona Cardinals	Stepfan Taylor	RB	Stanford	2013	5
New York Jets	Oday Aboushi	OT	Virginia	2013	5
Tennessee Titans	Lavar Edwards	DE	LSU	2013	5
Buffalo Bills	Jonathan Meeks	DB	Clemson	2013	5
New Orleans Saints	Kenny Stills	WR	Oklahoma	2013	5
San Diego Chargers	Steve Williams	CB	California	2013	5
Denver Broncos	Quanterus Smith	DE	Western Kentucky	2013	5
Tampa Bay Buccaneers	Steven Means	DE	Buffalo	2013	5
Carolina Panthers	A.J. Klein	ILB	Iowa State	2013	5
St. Louis Rams	Brandon McGee	CB	Miami (Fla.)	2013	5
Pittsburgh Steelers	Terry Hawthorne	CB	Illinois	2013	5
Dallas Cowboys	Joseph Randle	RB	Oklahoma State	2013	5
New York Giants	Cooper Taylor	SAF	Richmond	2013	5
Atlanta Falcons	Stansly Maponga	DE	Texas Christian	2013	5
Washington Redskins	Chris Thompson	RB	Florida State	2013	5
Minnesota Vikings	Jeff Locke	P	UCLA	2013	5
Cincinnati Bengals	Tanner Hawkinson	G	Kansas	2013	5
San Francisco 49ers	Quinton Dial	DE	Alabama	2013	5
Seattle Seahawks	Luke Willson	TE	Rice	2013	5
Green Bay Packers	Micah Hyde	CB	Iowa	2013	5
St. Louis Rams	Zac Stacy	RB	Vanderbilt	2013	5
Denver Broncos	Tavarres King	WR	Georgia	2013	5
Washington Redskins	Brandon Jenkins	LB	Florida State	2013	5
Chicago Bears	Jordan Mills	OT	Louisiana Tech	2013	5
Miami Dolphins	Mike Gillislee	RB	Florida	2013	5
Detroit Lions	Sam Martin	P	Appalachian State	2013	5
Miami Dolphins	Caleb Sturgis	K	Florida	2013	5
Green Bay Packers	Josh Boyd	DE	Mississippi State	2013	5
Baltimore Ravens	Ricky Wagner	OT	Wisconsin	2013	5
Jacksonville Jaguars	Josh Evans	FS	Florida	2013	6
Kansas City Chiefs	Eric Kush	C	California (PA)	2013	6
Detroit Lions	Corey Fuller	WR	Virginia Tech	2013	6
Oakland Raiders	Nick Kasa	TE	Colorado	2013	6
Denver Broncos	Vinston Painter	OT	Virginia Tech	2013	6
Arizona Cardinals	Ryan Swope	--	Texas A&M	2013	6
Cleveland Browns	Jamoris Slaughter	SS	Notre Dame	2013	6
Houston Texans	David Quessenberry	OT	San Jose State	2013	6
Buffalo Bills	Dustin Hopkins	K	Florida State	2013	6
New York Jets	William Campbell	G	Michigan	2013	6
San Diego Chargers	Tourek Williams	OLB	Florida International	2013	6
San Francisco 49ers	Nick Moody	OLB	Florida State	2013	6
Oakland Raiders	Latavius Murray	RB	Central Florida	2013	6
Carolina Panthers	Kenjon Barner	RB	Oregon	2013	6
New Orleans Saints	Rufus Johnson	LB	Tarleton State	2013	6
Oakland Raiders	Mychal Rivera	TE	Tennessee	2013	6
Dallas Cowboys	DeVonte Holloman	MLB	South Carolina	2013	6
Pittsburgh Steelers	Justin Brown	WR	Oklahoma	2013	6
Arizona Cardinals	Andre Ellington	RB	Clemson	2013	6
Chicago Bears	Cornelius Washington	DE	Georgia	2013	6
Tampa Bay Buccaneers	Mike James	RB	Miami (Fla.)	2013	6
Cincinnati Bengals	Rex Burkhead	RB	Nebraska	2013	6
Washington Redskins	Bacarri Rambo	SS	Georgia	2013	6
